Track Name,Artist,Album,Release Date,Label
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023-05-18,Rimas Entertainment LLC
Acróstico,Shakira,Acróstico,2023-05-11,Sony Music Latin
Supernova,Saiko,Supernova,2023-04-19,2023 SAIKO
EL TONTO,Lola Indigo,EL DRAGÓN,2023-04-13,Universal Music Spain S.L.
El Merengue,Marshmello,El Merengue,2023-03-03,Sony Music Latin
BESO,ROSALÍA,RR,2023-03-24,Columbia Records/Duars Entertainment/Sony Music Latin
VAGABUNDO,Sebastian Yatra,VAGABUNDO,2023-05-12,UMLE - Latino
Clavaito,Chanel,Clavaito,2023-04-27,Sony Music Entertainment
Nochentera,Vicco,Nochentera,2022-12-19,Sony Music Entertainment
Sangre y Fe,Cruz Cafuné,Me Muevo Con Dios,2023-05-25,MÉCÈN Ent.
Classy 101,Feid,Classy 101,2023-03-31,UMLE - Latino
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),2023-03-17,WM Mexico
Yandel 150,Yandel,Resistencia,2023-01-13,La Leyenda LLC
TQG,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,UMLE - Latino
Ella Baila Sola,Eslabon Armado,DESVELADO,2023-04-28,DEL Records
PLAYA DEL INGLÉS,Quevedo,DONDE QUIERO ESTAR,2023-01-20,Quevedo
La Bachata,Manuel Turizo,2000,2023-03-17,Sony Music Latin/La Industria
Todo Contigo,Álvaro De Luna,Todo Contigo,2023-03-17,WM Spain
Coco Chanel,Eladio Carrion,3MEN2 KBRN,2023-03-17,Rimas Entertainment LLC
Mami Chula,Jhayco,Mami Chula,2023-04-28,N&E Entertainment LLC
Rara Vez,Taiu,Rara Vez,2023-02-08,Universal Music Argentina S.A.
Si La Calle Llama - Remix,Eladio Carrion,3MEN2 KBRN,2023-03-17,Rimas Entertainment LLC
PUNTO G,Quevedo,DONDE QUIERO ESTAR,2023-01-20,Quevedo
MERCHO,LiL CaKe,MERCHO,2022-12-16,Sony Music Argentina
Cupido,TINI,Cupido,2023-02-16,5020 Records
WANDA,Quevedo,DONDE QUIERO ESTAR,2023-01-20,Quevedo
Los Ángeles,Aitana,Los Ángeles,2023-03-29,Universal Music Spain S.L.
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,DALE PLAY Records
Niña Bonita,Feid,Niña Bonita,2023-04-21,UMLE - Latino
69,Nicky Jam,69,2023-05-19,Sony Music Latin
Mi Nena Remix,Maikel Delacalle,Mi Nena Remix,2023-03-23,Universal Music Spain S.L.
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,DALE PLAY Records
Hey Mor,Ozuna,OzuTochi,2022-10-07,Aura Music Corp.
Arena y Sal,Omar Montes,Arena y Sal,2023-05-18,Sony Music Latin
un x100to,Grupo Frontera,un x100to,2023-04-17,Rimas Entertainment LLC.
La Jumpa,Arcángel,Sr. Santos,2022-12-01,Rimas Entertainment LLC.
Polaris,Saiko,1371 KM,2022-08-26,2022 Saiko
Antes,Rvfv,Antes,2023-03-10,NASTU MUSIC
Que te vaya bien,Rvfv,Que te vaya bien,2023-04-21,NASTU MUSIC
CHORRITO PA LAS ANIMAS,Feid,SIXDO,2022-12-02,UMLE - Latino
Andando,Morad,Reinsertado,2023-05-12,M.D.L.R
Tattoo,Loreen,Tattoo,2023-02-25,Universal Music AB
VISTA AL MAR,Quevedo,DONDE QUIERO ESTAR,2023-01-20,Quevedo
Arranca (feat. Omega),Becky G,Arranca (feat. Omega),2023-03-10,Kemosabe Records/RCA Records
DESPECHÁ,ROSALÍA,MOTOMAMI +,2022-09-09,Columbia
Flowers,Miley Cyrus,Endless Summer Vacation,2023-03-10,Columbia
Flow Violento - Remix,YoSoyPlex,Flow Violento (Remix),2023-01-13,Plex Music
AMARGURA,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,UMLE - Latino
LA INOCENTE,Mora,MICRODOSIS,2022-04-01,Rimas Entertainment LLC
No Estuviste En Lo Malo,Morad,Reinsertado,2023-05-12,M.D.L.R
