Track Name,Artist,Album,Release Date,Label
Ella Baila Sola,Eslabon Armado,Ella Baila Sola,2023-03-16,DEL Records
Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,2023-02-24,WM Korea
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),2023-03-17,WM Mexico
un x100to,Grupo Frontera,un x100to,2023-04-17,Rimas Entertainment LLC.
Flowers,Miley Cyrus,Flowers,2023-01-13,Columbia
Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),2022-08-25,Mavin Records / Jonzing World
All My Life (feat. J. Cole),Lil Durk,All My Life (feat. J. Cole),2023-05-12,Alamo
Die For You - Remix,The Weeknd,Die For You (Remix),2023-02-24,XO / Republic Records
アイドル,YOASOBI,アイドル,2023-04-12,YOASOBI
Last Night,Morgan Wallen,3 Songs At A Time Sampler,2023-01-31,Big Loud Records / Mercury Records / Republic Records
Kill Bill,SZA,SOS,2022-12-09,Top Dawg Entertainment/RCA Records
Daylight,David Kushner,Daylight,2023-04-14,"Miserable Music Group, LLC"
Acróstico,Shakira,Acróstico,2023-05-11,Sony Music Latin
As It Was,Harry Styles,As It Was,2022-03-31,Columbia
Tattoo,Loreen,Tattoo,2023-02-25,Universal Music AB
TQG,KAROL G,TQG,2023-02-23,UMLE - Latino
Anti-Hero,Taylor Swift,Midnights,2022-10-21,Taylor Swift
Classy 101,Feid,Classy 101,2023-03-31,UMLE - Latino
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,HEROES & VILLAINS,2022-12-02,Republic Records
People,Libianca,People,2022-12-06,5K Records Limited
I'm Good (Blue),David Guetta,I'm Good (Blue),2022-08-26,Parlophone UK
Por las Noches,Peso Pluma,Por las Noches,2021-06-11,El Cártel de Los Ángeles
Boy's a Liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,2023-02-03,Warner Records
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,Until I Found You (Em Beihold Version),2022-04-22,Republic Records
PRC,Peso Pluma,PRC,2023-01-23,Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT
El Azul,Junior H,El Azul,2023-02-10,WEA Latina
Cha Cha Cha,Käärijä,Cha Cha Cha,2023-01-17,WM Finland
golden hour,JVKE,this is what falling in love feels like (554Hz),2022-10-03,JVKE
I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,Interscope Records
Fast Car,Luke Combs,Gettin' Old,2023-03-24,River House Artists/Columbia Nashville
BESO,ROSALÍA,RR,2023-03-24,Columbia Records/Duars Entertainment/Sony Music Latin
Eyes Closed,Ed Sheeran,Eyes Closed,2023-03-24,Atlantic Records UK
Yandel 150,Yandel,Yandel 150,2022-12-20,La Leyenda LLC
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,Save Your Tears (Remix),2021-04-23,Republic Records
Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),2022-09-22,Capitol Records UK / EMI
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,UNFORGIVEN,2023-05-01,SOURCE MUSIC
See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,2017-07-21,Columbia
AMG,Natanael Cano,AMG,2022-11-24,WEA Latina
Like Crazy,Jimin,FACE,2023-03-24,BIGHIT MUSIC
Another Love,Tom Odell,Long Way Down (Deluxe),2013-06-24,ITNO/Columbia
Frágil,Yahritza Y Su Esencia,Frágil,2023-04-07,Lumbre Music/Columbia
Search & Rescue,Drake,Search & Rescue,2023-04-07,OVO/Republic Records
FLOWER,JISOO,ME,2023-03-31,YG Entertainment/Interscope Records
Sure Thing,Miguel,All I Want Is You,2010-11-26,Jive
Chemical,Post Malone,Chemical,2023-04-14,Mercury Records/Republic Records
Miracle (with Ellie Goulding),Calvin Harris,Miracle (with Ellie Goulding),2023-03-10,Columbia
Favorite Song,Toosii,Favorite Song,2023-02-17,South Coast Music Group/Capitol Records
Blinding Lights,The Weeknd,After Hours,2020-03-20,Republic Records
Cruel Summer,Taylor Swift,Lover,2019-08-23,Taylor Swift
