Track Name,Artist,Album,Release Date,Label
Ella Baila Sola,Eslabon Armado,DESVELADO,2023-04-28,DEL Records
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),2023-03-17,WM Mexico
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023-05-18,Rimas Entertainment LLC
un x100to,Grupo Frontera,un x100to,2023-04-17,Rimas Entertainment LLC.
Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,2023-02-24,WM Korea
Flowers,Miley Cyrus,Endless Summer Vacation,2023-03-10,Columbia
Kill Bill,SZA,SOS,2022-12-08,Top Dawg Entertainment/RCA Records
As It Was,Harry Styles,Harry's House,2022-05-20,Columbia
Daylight,David Kushner,Daylight,2023-04-14,"Miserable Music Group, LLC"
TQM,Fuerza Regida,TQM,2023-05-19,Rancho Humilde/Street Mob Records
TQG,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,UMLE - Latino
El Azul,Junior H,El Azul,2023-02-10,WEA Latina
Classy 101,Feid,Classy 101,2023-03-31,UMLE - Latino
Anti-Hero,Taylor Swift,Midnights,2022-10-21,Taylor Swift
Calm Down (with Selena Gomez),Rema,Rave & Roses Ultra,2023-04-27,Mavin Records / Jonzing World
Die For You (with Ariana Grande) - Remix,The Weeknd,Starboy (Deluxe),2023-03-14,XO / Republic Records
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,HEROES & VILLAINS,2022-12-02,Republic Records
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Kodak Black,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) [Trailer Version]",2023-05-17,APG Inc – FF10
See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,2017-07-21,Columbia
PRC,Peso Pluma,PRC,2023-01-23,Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT
Last Night,Morgan Wallen,One Thing At A Time,2023-03-03,Big Loud Records / Mercury Records / Republic Records
Yandel 150,Yandel,Resistencia,2023-01-13,La Leyenda LLC
Hits Different,Taylor Swift,Midnights (The Til Dawn Edition),2023-05-26,Taylor Swift
Angels Like You,Miley Cyrus,Plastic Hearts,2020-11-27,RCA Records Label
Boy's a Liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,2023-02-03,Warner Records
I Wanna Be Yours,Arctic Monkeys,AM,2013-09-09,Domino Recording Co
BESO,ROSALÍA,RR,2023-03-24,Columbia Records/Duars Entertainment/Sony Music Latin
All My Life (feat. J. Cole),Lil Durk,Almost Healed,2023-05-26,Alamo
Acróstico,Shakira,Acróstico,2023-05-11,Sony Music Latin
Die For You,The Weeknd,Starboy,2016-11-24,Universal Republic Records
Here With Me,d4vd,Here With Me,2022-09-22,Darkroom/Interscope Records
Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,2023-05-19,Polydor Records
Cruel Summer,Taylor Swift,Lover,2019-08-23,Taylor Swift
AMG,Natanael Cano,AMG,2022-11-24,WEA Latina
I'm Good (Blue),David Guetta,I'm Good (Blue),2022-08-26,Parlophone UK
People,Libianca,People,2022-12-06,5K Records Limited
Por las Noches,Peso Pluma,Por las Noches,2021-06-11,El Cártel de Los Ángeles
Dance The Night (From Barbie The Album),Dua Lipa,Dance The Night (From Barbie The Album),2023-05-25,Atlantic Records
I Ain't Worried,OneRepublic,OneRepublic (Japan Paradise Tour Edition),2023-02-15,Mosley / Interscope
Moonlight,Kali Uchis,Red Moon In Venus,2023-03-03,Geffen Records
golden hour,JVKE,this is what ____ feels like (Vol. 1-4),2022-09-23,JVKE
Tattoo,Loreen,Tattoo,2023-02-25,Universal Music AB
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,Until I Found You (Em Beihold Version),2022-04-22,Republic Records
Starboy,The Weeknd,Starboy,2016-11-25,Universal Republic Records
Frágil,Yahritza Y Su Esencia,Frágil,2023-04-07,Lumbre Music/Columbia
Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,Midnights (The Til Dawn Edition),2023-05-26,Taylor Swift
Another Love,Tom Odell,Long Way Down,2013-06-17,ITNO/Columbia
La Bachata,Manuel Turizo,2000,2023-03-17,Sony Music Latin/La Industria
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,DALE PLAY Records
Like Crazy,Jimin,FACE,2023-03-24,BIGHIT MUSIC
