Track Name,Artist,Album,Release Date,Label
Acróstico,Shakira,Acróstico,2023-05-11,Sony Music Latin
VAGABUNDO,Sebastian Yatra,VAGABUNDO,2023-05-12,UMLE - Latino
un x100to,Grupo Frontera,un x100to,2023-04-17,Rimas Entertainment LLC.
"Manos Frías (con Reik, Beéle)",Mau y Ricky,"Manos Frías (con Reik, Beéle)",2023-05-25,WEA Latina
BESO,ROSALÍA,RR,2023-03-24,Columbia Records/Duars Entertainment/Sony Music Latin
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023-05-18,Rimas Entertainment LLC
SIN CORAZÓN,KHEA,SEROTONINA,2023-05-25,Interscope Records
El Merengue,Marshmello,El Merengue,2023-03-03,Sony Music Latin
tqum,Sofía Reyes,tqum,2023-05-25,WEA Latina
MIENTRAS ME CURO DEL CORA,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,UMLE - Latino
Sin Gato (MIAU!),Rels B,Sin Gato (MIAU!),2023-05-25,DALE PLAY Records / Flakk Team
1Trago,Danna Paola,1Trago,2023-04-14,Universal Music Mexico
En Otra Vida,Andrés Cepeda,Décimo Cuarto,2023-05-24,Sony Music Entertainment
69,Nicky Jam,69,2023-05-19,Sony Music Latin
Arranca (feat. Omega),Becky G,Arranca (feat. Omega),2023-03-10,Kemosabe Records/RCA Records
Me Enteré,Tiago PZK,Me Enteré,2023-05-18,WEA Latina
Ojitos Lindos,Bad Bunny,Un Verano Sin Ti,2022-05-06,Rimas Entertainment LLC
qué le pasa conmigo?,Nicki Nicole,qué le pasa conmigo?,2023-04-19,Sony Music Latin/DALE PLAY Records
Cupido,TINI,Cupido,2023-02-14,5020 Records
PLAYA DEL INGLÉS,Quevedo,PLAYA DEL INGLÉS,2022-12-15,WM Spain
TQG,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,UMLE - Latino
Por el Resto de Tu Vida,Christian Nodal,Por el Resto de Tu Vida,2023-01-27,"Producciones Ladon, S.A de C.V."
Tú Y Tú,Los Ángeles Azules,Tú Y Tú,2023-03-10,UMLE - Disa
Corazón,Mike Bahía,Contigo,2023-04-27,WM Mexico
DISPARA ***,Nicki Nicole,DISPARA ***,2023-05-17,Sony Music Latin/DALE PLAY Records
Todo De Ti,Rauw Alejandro,Todo De Ti,2021-05-20,Sony Music Latin/Duars Entertainment
Que Se Parezca A Ti,Tiago PZK,Portales (Deluxe Edition),2023-03-30,WEA Latina
EL TONTO,Lola Indigo,EL DRAGÓN,2023-04-13,Universal Music Spain S.L.
No_se_ve.mp3,Emilia,No_se_ve.mp3,2023-05-03,2023 WK Records
Malas Decisiones,Kenia OS,K23,2022-10-26,Sony Music México
No Se Va,Morat,Balas Perdidas,2018-10-25,Universal Music Spain S.L.
No Se Acaba Hasta Que Acabe,LAGOS,No Se Acaba Hasta Que Acabe,2023-02-14,WM Mexico
Ojos Marrones - Con Sebastián Yatra,Lasso,Ojos Marrones (Con Sebastián Yatra),2022-08-24,Universal Music Mexico
La Bachata,Manuel Turizo,La Bachata,2022-05-26,Sony Music Latin/La Industria
Correcaminos,Alejandro Sanz,Correcaminos,2023-03-23,Universal Music Spain S.L.
Los Ángeles,Aitana,Los Ángeles,2023-03-29,Universal Music Spain S.L.
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,DALE PLAY Records
Abajito,Lele Pons,Abajito,2023-03-02,Interscope Records
Amigos (con Maria Becerra),Pablo Alborán,Amigos (con Maria Becerra),2022-11-10,WM Spain
La Reina,Maluma,La Reina,2023-03-09,Sony Music Latin
5 Estrellas,Reik,5 Estrellas,2022-08-25,Sony Music Latin
Los Cachos,Piso 21,Los Cachos,2022-07-08,WM Mexico
Clavaito,Chanel,Clavaito,2023-04-27,Sony Music Entertainment
DESPECHÁ,ROSALÍA,DESPECHÁ,2022-07-28,Columbia
MAMIII,Becky G,MAMIII,2022-02-10,Kemosabe Records/RCA Records
Fuera del mercado,Danny Ocean,@dannocean,2022-02-17,Atlantic Records
Tormenta (feat. Bad Bunny),Gorillaz,Cracker Island,2023-02-24,Parlophone UK
Monotonía,Shakira,Monotonía,2022-10-19,Sony Music Latin
"Diablo, Qué Chimba",Maluma,"Diablo, Qué Chimba",2023-03-23,Sony Music Latin
X SI VOLVEMOS,KAROL G,X SI VOLVEMOS,2023-02-03,UMLE - Latino
