Track Name,Artist,Album,Release Date,Label
Sangre y Fe,Cruz Cafuné,Me Muevo Con Dios,2023-05-25,MÉCÈN Ent.
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023-05-18,Rimas Entertainment LLC
Pacto (feat. Luar La L),Jay Wheeler,Pacto (feat. Luar La L),2023-04-24,Linked Music / Dynamic Records / EMPIRE
69,Nicky Jam,69,2023-05-19,Sony Music Latin
Sígueme - Remix,Feid,Sígueme (Remix),2019-02-01,JP Entertainment (Jorge Pino)
Corazón Roto - Remix,Brray,Corazón Roto (Remix),2023-04-07,UMLE - Latino
Arena y Sal,Omar Montes,Arena y Sal,2023-05-18,Sony Music Latin
Capitán,Rvfv,Capitán,2023-05-26,NASTU MUSIC
Mami Chula,Jhayco,Mami Chula,2023-04-28,N&E Entertainment LLC
QUE RICO (w/ Bad Gyal),Un Titico,QUE RICO (w/ Bad Gyal),2023-05-18,"2023 Calientalo Media / WK Records / Bad Gyal, Courtesy of Universal Music Latin SPAIN"
Supernova,Saiko,Supernova,2023-04-19,2023 SAIKO
Que te vaya bien,Rvfv,Que te vaya bien,2023-04-21,NASTU MUSIC
Andando,Morad,Reinsertado,2023-05-12,M.D.L.R
Classy 101,Feid,Classy 101,2023-03-31,UMLE - Latino
4 PREZ,Cruz Cafuné,4 PREZ,2023-05-11,MÉCÈN Ent.
Amanece,Anuel AA,Amanece,2018-12-14,House of Haze
DUBAI,Trueno,DUBAI,2023-05-25,2023 Sur Capital Records (por Tierra Agencia)
Tú No Lo Amas,Anuel AA,Real Hasta la Muerte,2018-07-17,"2018 Real Hasta La Muerte, Inc."
Si La Calle Llama - Remix,Eladio Carrion,3MEN2 KBRN,2023-03-17,Rimas Entertainment LLC
Tuenti - Remix,Raul Clyde,Tuenti (Remix),2022-12-14,Raul Clyde x Saiko
3 Am,Eladio Carrion,Sauce Boyz,2020-01-31,Rimas Entertainment LLC
VOODOO,Myke Towers,LA VIDA ES UNA,2023-03-23,WEA Latina
Donde CRJ - Remix,Karbeats,Donde CRJ (Remix),2023-05-19,Sonar LLC.
Niña Bonita,Feid,Niña Bonita,2023-04-21,UMLE - Latino
2 Hielos,King Savagge,2 Hielos,2023-02-02,Nabru Records LLC
RÁPIDO,Mora,RÁPIDO,2023-04-27,Rimas Entertainment LLC
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),2023-03-17,WM Mexico
Un Cigarrillo,Chencho Corleone,Un Cigarrillo,2023-05-04,Sony Music Latin
Whiskey y Coco,Justin Quiles,Whiskey y Coco,2023-01-12,WEA Latina
Sin Gato (MIAU!),Rels B,Sin Gato (MIAU!),2023-05-25,DALE PLAY Records / Flakk Team
Cuerpecito,Jhayco,Cuerpecito,2023-03-31,N&E Entertainment LLC
Coco Chanel,Eladio Carrion,3MEN2 KBRN,2023-03-17,Rimas Entertainment LLC
M.A - Remix,BM,M.A (Remix),2023-04-05,DALE PLAY Records / Wesaisons Records
Mi Nena Remix,Maikel Delacalle,Mi Nena Remix,2023-03-23,Universal Music Spain S.L.
Una Noche Loca,Nickzzy,Una Noche Loca,2023-05-11,Sony Music Entertainment
Triste Verano,Eladio Carrion,Triste Verano,2023-04-14,Rimas Entertainment LLC
Cosas Locas 2.0,Danny Romero,Cosas Locas 2.0,2023-03-16,Universal Music Spain S.L.
QUÉSESIENTE,Lucho RK,QUÉSESIENTE,2023-01-27,Lucho RK
UNA ÚLTIMA VEZ,Soge Culebra,UNA ÚLTIMA VEZ,2023-04-14,WM Spain
DOMINGO DE BOTE,Mora,PARAÍSO,2022-11-03,Rimas Entertainment LLC
Mxfix G5,Feid,Mxfix G5,2023-05-12,UMLE - Latino
En Bajita,Justin Quiles,En Bajita,2023-03-16,WEA Latina
Piensan,Myke Towers,Easy Money Baby,2020-01-24,"2020 One World Music & Casablanca Records | Powered by GLAD Empire, LL"
D X VIDA,Alejo,D X VIDA,2023-03-30,Jungl
Sikora,Saiko,Sikora,2023-02-10,2023 SAIKO
DAME,Quevedo,DONDE QUIERO ESTAR,2023-01-20,Quevedo
Polaris,Saiko,1371 KM,2022-08-26,2022 Saiko
REMIX EXCLUSIVO,Feid,REMIX EXCLUSIVO,2023-03-17,UMLE - Latino
CHORRITO PA LAS ANIMAS,Feid,SIXDO,2022-12-02,UMLE - Latino
