Track Name,Artist,Album,Release Date,Label
Acróstico,Shakira,Acróstico,2023-05-11,Sony Music Latin
VAGABUNDO,Sebastian Yatra,VAGABUNDO,2023-05-12,UMLE - Latino
Clavaito,Chanel,Clavaito,2023-04-27,Sony Music Entertainment
Algo Sencillito,Marta Santos,Algo Sencillito,2023-05-18,Virgin Music Spain
Todo Contigo,Álvaro De Luna,Todo Contigo,2023-03-17,WM Spain
EL TONTO,Lola Indigo,EL DRAGÓN,2023-04-13,Universal Music Spain S.L.
Coti x Coti,The Tyets,Coti x Coti,2023-02-17,Luup Records
La Fiesta,Pedro Capó,La Fiesta,2022-04-29,Sony Music Latin
El Merengue,Marshmello,El Merengue,2023-03-03,Sony Music Latin
P.M.,Chanel,P.M.,2023-05-19,Sony Music Entertainment
Nochentera,Vicco,Nochentera,2022-12-19,Sony Music Entertainment
El Fin del Mundo,La La Love You,La la Love You Bonus,2020-12-11,Subterfuge Records
SANTORINI (feat. Marmi),Enol,OCHO ESTRELLAS,2022-11-18,WM Spain
Me Da Bastante Miedo,Pole.,Me Da Bastante Miedo,2023-05-12,Sony Music Entertainment
MI BANDERA,Nil Moliner,MI BANDERA,2023-05-05,WM Spain
Arranca (feat. Omega),Becky G,Arranca (feat. Omega),2023-03-10,Kemosabe Records/RCA Records
DISPARA ***,Nicki Nicole,DISPARA ***,2023-05-17,Sony Music Latin/DALE PLAY Records
Beber x Beber,zzoilo,Beber x Beber,2023-04-14,Zzoilo
Una Noche Sin Pensar,Sebastian Yatra,Una Noche Sin Pensar,2023-02-17,UMLE - Latino
Me Enteré,Tiago PZK,Me Enteré,2023-05-18,WEA Latina
Himno (para los que están jodidos),La La Love You,Himno (para los que están jodidos),2023-04-14,Subterfuge Records
La Bachata,Marta Santos,La Bachata,2022-09-22,Virgin Music Spain
El Wey,zzoilo,El Wey,2023-03-23,Zzoilo
Todo Me Da Igual,Vicco,Todo Me Da Igual,2023-05-05,Sony Music Entertainment
Bailando por Ahi,Juan Magán,The King Of Dance,2012-05-14,Columbia
El Principio de algo,La La Love You,El Principio de algo,2023-01-27,Subterfuge Records
Campeón,Ters,Campeón,2023-05-16,Ters
SÚBEME EL VOLUMEN,Nil Moliner,MI BANDERA,2023-05-05,WM Spain
La Idea,Abraham Mateo,La Idea,2023-01-05,Sony Music Entertainment
Miami Beach,Rigoberta Bandini,Miami Beach,2023-05-19,Rigoberta Bandini
Mil Laberintos,Ters,Mil Laberintos,2023-02-20,Ters
Mejor que ayer,Chema Rivas,Mejor que ayer,2023-05-12,Sony Music Entertainment
Qué bonita,DePol,Qué bonita,2022-11-25,PIES Compañía Discográfica
En el mismo bar,De Rancho,En el mismo bar,2023-03-23,H Roto
DOS PRIMAVERAS,Nil Moliner,MI BANDERA,2023-05-05,WM Spain
No_se_ve.mp3,Emilia,No_se_ve.mp3,2023-05-03,2023 WK Records
Un Clásico,Ana Mena,Un Clásico,2023-01-20,Sony Music Entertainment
SI ELLA SUPIERA,India Martinez,SI ELLA SUPIERA,2022-09-02,Sony Music Entertainment
Bendita,Las Villa,Bendita,2023-01-27,WEA Latina
NADA QUE DECIR,Nil Moliner,MI BANDERA,2023-05-05,WM Spain
Esta Vida,Marshmello,Esta Vida,2023-04-13,Sony Music Latin
Te Miro A La Cara,Daviles de Novelda,Te Miro A La Cara,2023-01-27,Sony Music Entertainment
Cerquita de Ti,Marlon,Cerquita de Ti,2023-05-12,WM Spain
