Track Name,Artist,Album,Release Date,Label
All My Life (feat. J. Cole),Lil Durk,All My Life (feat. J. Cole),2023-05-12,Alamo
Ocean Spray,Moneybagg Yo,Ocean Spray,2023-05-24,CMG/N-Less/Interscope Records
Search & Rescue,Drake,Search & Rescue,2023-04-07,OVO/Republic Records
Go Hard,Lil Baby,Go Hard,2023-05-03,Quality Control Music/Motown Records
Trance (with Travis Scott & Young Thug),Metro Boomin,HEROES & VILLAINS,2022-12-02,Republic Records
War Bout It (feat. 21 Savage),Lil Durk,Almost Healed,2023-05-26,Alamo
Gunsmoke Town,Kodak Black,Pistolz & Pearlz,2023-05-26,Atlantic Records
"Pissy (feat. Roddy Ricch, Nardo Wick)",Gucci Mane,"Pissy (feat. Roddy Ricch, Nardo Wick)",2023-05-05,1017/Atlantic
Private Landing (feat. Justin Bieber & Future),Don Toliver,Love Sick,2023-02-24,Cactus Jack / Atlantic
Peaches & Eggplants (feat. 21 Savage),Young Nudy,Peaches & Eggplants (feat. 21 Savage),2023-02-27,PDE Records/Same Plate/RCA Records
06 Gucci (feat. DaBaby & 21 Savage),Gucci Mane,06 Gucci (feat. DaBaby & 21 Savage),2023-03-31,1017/Atlantic
Area Codes,Kali,Area Codes,2023-03-17,Atlantic Records
Pelle Coat,Lil Durk,Almost Healed,2023-05-26,Alamo
My wrist (with Young Thug),Yeat,My wrist (with Young Thug),2023-05-26,Field Trip Recordings/Geffen Records
Pain Talk (feat. Lil Tjay),Sleepy Hallow,Pain Talk (feat. Lil Tjay),2023-05-24,Winners Circle/RCA Records
Pound Town 2 (feat. Nicki Minaj & Tay Keith),Sexyy Red,Pound Town 2 (feat. Nicki Minaj & Tay Keith),2023-05-26,Heavy On It/Open Shift/gamma.
Lick Or Sum,GloRilla,Lick Or Sum,2023-05-23,CMG/Interscope Records
Act Bad,Diddy,Act Bad,2023-05-26,Bad Boy
SLUT ME OUT,NLE Choppa,SLUT ME OUT,2022-04-22,Warner Records
SHAKE SUMN,DaBaby,CALL DA FIREMAN,2023-05-05,South Coast Music Group/Interscope Records
Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,Watch This (ARIZONATEARS Pluggnb Remix),2023-02-05,sped up nightcore
Spin Bout U,Drake,Her Loss,2022-11-04,OVO / Republic Records
Favorite Song (feat. Future) [Toxic Version],Toosii,Favorite Song (feat. Future) [Toxic Version],2023-05-19,South Coast Music Group/Capitol Records
Motion God,Moneybagg Yo,Motion God,2023-04-21,CMG/N-Less/Interscope Records
Turn The Streets Up,EST Gee,Turn The Streets Up,2023-05-25,CMG/Warlike/Interscope Records
GEEKALEEK (feat. Cash Kidd),OHGEESY,GEEKALEEK (feat. Cash Kidd),2023-02-03,Atlantic Records
Princess Diana (with Nicki Minaj),Ice Spice,Princess Diana (with Nicki Minaj),2023-04-14,10K Projects/Capitol Records
Blackout,Joyner Lucas,Blackout,2023-04-07,Twenty Nine Music Group
It's Crazy,J Hus,It's Crazy,2023-05-25,Black Butter
Bops,Coi Leray,Bops,2023-04-27,Uptown / Republic Records
"Ring Ring (feat. Travis Scott, Don Toliver, Quavo & Ty Dolla $ign)",CHASE B,"Ring Ring (feat. Travis Scott, Don Toliver, Quavo & Ty Dolla $ign)",2023-05-11,"Artist Partner Group, Inc."
Embarrassed (feat. Travis Scott),Don Toliver,Love Sick (Deluxe),2023-02-28,Cactus Jack / Atlantic
I Remember (feat. Roddy Ricch & Kodak Black),Internet Money,I Remember (feat. Roddy Ricch & Kodak Black),2023-03-24,Internet Money Records / 10K Projects
They Don't Love It,Jack Harlow,Jackman.,2023-04-28,Generation Now/Atlantic
SORRY NOT SORRY,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,2023-03-31,Columbia
Fight The Feeling,Rod Wave,Fight The Feeling,2023-03-31,Alamo
Honey Bun,Quavo,Honey Bun,2023-03-31,"Quality Control Music, LLC"
Andale,DJ Drama,I'M REALLY LIKE THAT,2023-03-31,MNRK Records LP
MVP (feat. G-Eazy),A Boogie Wit da Hoodie,MVP (feat. G-Eazy),2023-05-12,Atlantic/Highbridge The Label
FreakyT (feat. Latto) - Remix,TiaCorine,FreakyT (feat. Latto) [Remix],2023-04-21,"South Coast Music Group, LLC"
DOGTOOTH,"Tyler, The Creator",DOGTOOTH,2023-03-27,Columbia
Common Ground,Jack Harlow,Jackman.,2023-04-28,Generation Now/Atlantic
Red Ruby Da Sleeze,Nicki Minaj,Red Ruby Da Sleeze,2023-03-03,Republic Records
Put It On Da Floor,Latto,Put It On Da Floor,2023-04-21,Streamcut/RCA Records
Hot Boy (feat. Lil Baby),Nardo Wick,Hot Boy (feat. Lil Baby),2023-03-31,Flawless Ent./RCA Records
Strike (Holster),Lil Yachty,Strike (Holster),2023-04-07,Quality Control Music/Motown Records
WTF (feat. Nicki Minaj),YoungBoy Never Broke Again,WTF (feat. Nicki Minaj),2023-04-07,Never Broke Again/Motown Records
No Good,Juice WRLD,Goodbye & Good Riddance (5 Year Anniversary Edition),2023-05-18,Grade A Productions/Interscope Records
I'M THAT BITCH,BIA,I'M THAT BITCH,2023-03-24,Epic
Keep Dat Nigga,Icandy,Keep Dat Nigga,2022-12-19,Records/Columbia
